cell_x,cell_y,category,num,type,difficulty,direction
0,0,climbing holds,1,jug,3,0
0,0,climbing holds,10,jug,1,225
0,0,climbing holds,2,jug,3,180
0,0,climbing holds,3,jug,3,180
0,0,climbing holds,4,jug,1,225
0,0,climbing holds,5,jug,1,180
0,0,climbing holds,6,jib,4,225
0,0,climbing holds,7,jug,1,180
0,0,climbing holds,8,jug,1,180
0,0,climbing holds,9,sloper,3,180
0,0,insert holds,1,jug,2,180
0,0,insert holds,2,pocket,1,270
0,0,wall features,1,crimp,3,45
0,0,wall features,2,uncategorized,5,315
0,0,wall features,3,uncategorized,3,45
0,1,climbing holds,1,crimp,2,225
0,1,climbing holds,2,pinch,2,225
0,1,climbing holds,3,pinch,3,180
0,1,climbing holds,4,sloper,4,180
0,1,climbing holds,5,jug,1,180
0,1,climbing holds,6,pinch,1,225
0,1,climbing holds,7,crimp,3,270
0,1,insert holds,1,crimp,2,135
0,1,wall features,1,crimp,4,90
0,1,wall features,10,jug,3,0
0,1,wall features,11,jug,2,180
0,1,wall features,12,jug,1,180
0,1,wall features,13,jug,1,90
0,1,wall features,14,jug,3,270
0,1,wall features,15,crimp,4,90
0,1,wall features,16,crimp,5,225
0,1,wall features,17,crimp,3,90
0,1,wall features,18,crimp,3,90
0,1,wall features,19,pocket,4,90
0,1,wall features,2,pocket,4,90
0,1,wall features,20,pocket,3,180
0,1,wall features,21,sloper,3,180
0,1,wall features,22,pinch,3,180
0,1,wall features,23,crimp,4,180
0,1,wall features,24,crimp,5,180
0,1,wall features,25,jug,1,180
0,1,wall features,26,crimp,5,180
0,1,wall features,27,jug,1,180
0,1,wall features,28,pinch,4,180
0,1,wall features,29,crimp,5,180
0,1,wall features,3,pocket,5,90
0,1,wall features,30,crimp,4,90
0,1,wall features,31,crimp,5,270
0,1,wall features,32,crimp,5,135
0,1,wall features,33,crimp,4,90
0,1,wall features,34,pinch,3,90
0,1,wall features,35,crimp,5,180
0,1,wall features,36,crimp,5,270
0,1,wall features,37,crimp,5,180
0,1,wall features,38,pinch,4,90
0,1,wall features,39,crimp,4,180
0,1,wall features,4,crimp,3,180
0,1,wall features,40,crimp,2,225
0,1,wall features,41,crimp,5,180
0,1,wall features,42,crimp,3,180
0,1,wall features,43,crimp,5,180
0,1,wall features,44,crimp,4,180
0,1,wall features,45,uncategorized,4,180
0,1,wall features,5,crimp,5,180
0,1,wall features,6,pocket,5,270
0,1,wall features,7,pocket,5,270
0,1,wall features,8,pocket,5,90
0,1,wall features,9,pocket,5,90
0,2,climbing holds,1,jug,1,135
0,2,climbing holds,2,crimp,1,180
0,2,climbing holds,3,pinch,3,135
0,2,climbing holds,4,jug,2,90
0,2,climbing holds,5,jug,1,180
0,2,climbing holds,6,pinch,5,135
0,2,climbing holds,7,jug,1,180
0,2,climbing holds,8,crimp,1,180
0,2,climbing holds,9,crimp,2,180
0,2,insert holds,1,jug,4,180
0,2,insert holds,2,pocket,1,180
0,2,wall features,1,uncategorized,3,180
0,2,wall features,10,crimp,5,225
0,2,wall features,11,uncategorized,5,0
0,2,wall features,12,uncategorized,5,180
0,2,wall features,13,uncategorized,3,180
0,2,wall features,14,uncategorized,5,180
0,2,wall features,15,uncategorized,5,180
0,2,wall features,16,uncategorized,5,180
0,2,wall features,17,jib,5,180
0,2,wall features,2,uncategorized,3,180
0,2,wall features,3,uncategorized,3,180
0,2,wall features,4,uncategorized,4,180
0,2,wall features,5,uncategorized,5,180
0,2,wall features,6,crimp,4,270
0,2,wall features,7,uncategorized,4,135
0,2,wall features,8,uncategorized,5,180
0,2,wall features,9,uncategorized,5,90
0,3,climbing holds,1,pinch,1,180
0,3,climbing holds,2,jug,1,180
0,3,climbing holds,3,jug,1,180
0,3,climbing holds,4,jug,1,45
0,3,climbing holds,5,jug,1,180
0,3,insert holds,1,crimp,3,180
0,3,wall features,1,uncategorized,5,180
0,3,wall features,2,uncategorized,3,180
0,3,wall features,3,uncategorized,3,180
0,3,wall features,4,uncategorized,3,180
1,0,climbing holds,1,jug,1,180
1,0,climbing holds,10,pinch,1,135
1,0,climbing holds,2,jug,3,180
1,0,climbing holds,3,jug,1,180
1,0,climbing holds,4,jug,1,180
1,0,climbing holds,5,crimp,3,135
1,0,climbing holds,6,pocket,2,180
1,0,climbing holds,7,jug,1,315
1,0,climbing holds,8,crimp,5,180
1,0,climbing holds,9,crimp,4,315
1,0,insert holds,1,crimp,4,180
1,0,insert holds,2,jug,5,180
1,0,wall features,1,uncategorized,5,315
1,0,wall features,2,crimp,4,135
1,1,climbing holds,1,jug,1,180
1,1,climbing holds,2,jib,2,180
1,1,climbing holds,3,jug,1,0
1,1,climbing holds,4,sloper,3,270
1,1,climbing holds,5,jug,2,135
1,1,climbing holds,6,crimp,2,135
1,1,climbing holds,7,jug,1,180
1,1,insert holds,1,sloper,5,180
1,1,insert holds,2,pocket,2,180
1,1,wall features,1,uncategorized,4,180
1,1,wall features,10,crimp,3,180
1,1,wall features,11,crimp,3,180
1,1,wall features,12,crimp,5,180
1,1,wall features,2,sloper,3,180
1,1,wall features,3,sloper,5,180
1,1,wall features,4,sloper,3,180
1,1,wall features,5,uncategorized,5,180
1,1,wall features,6,sloper,4,180
1,1,wall features,7,sloper,4,315
1,1,wall features,8,uncategorized,5,315
1,1,wall features,9,crimp,5,180
1,2,climbing holds,1,jug,1,180
1,2,climbing holds,2,jug,1,180
1,2,climbing holds,3,sloper,5,180
1,2,climbing holds,4,pocket,2,180
1,2,climbing holds,5,jug,2,180
1,2,climbing holds,6,jug,2,180
1,2,climbing holds,7,pinch,2,90
1,2,climbing holds,8,pinch,1,180
1,2,insert holds,1,crimp,5,270
1,2,wall features,1,crimp,3,180
1,2,wall features,10,pocket,4,180
1,2,wall features,11,pocket,4,180
1,2,wall features,12,crimp,3,90
1,2,wall features,13,jug,2,180
1,2,wall features,14,pinch,3,180
1,2,wall features,15,jug,4,0
1,2,wall features,16,jug,2,90
1,2,wall features,17,crimp,3,270
1,2,wall features,18,crimp,5,90
1,2,wall features,19,crimp,5,270
1,2,wall features,2,pinch,5,270
1,2,wall features,20,pinch,2,180
1,2,wall features,21,pinch,3,90
1,2,wall features,22,jug,4,90
1,2,wall features,23,jug,1,180
1,2,wall features,24,crimp,4,90
1,2,wall features,25,crimp,5,270
1,2,wall features,26,pocket,5,180
1,2,wall features,27,pocket,4,180
1,2,wall features,28,uncategorized,5,180
1,2,wall features,29,jug,2,135
1,2,wall features,3,crimp,5,180
1,2,wall features,30,crimp,3,225
1,2,wall features,31,uncategorized,5,180
1,2,wall features,32,crimp,5,180
1,2,wall features,4,crimp,4,90
1,2,wall features,5,pinch,5,180
1,2,wall features,6,uncategorized,5,90
1,2,wall features,7,crimp,4,180
1,2,wall features,8,jug,3,270
1,2,wall features,9,pocket,5,180
1,3,climbing holds,1,pocket,3,180
1,3,climbing holds,2,sloper,1,180
1,3,climbing holds,3,pocket,2,180
1,3,insert holds,1,pocket,2,180
1,3,wall features,1,uncategorized,5,180
1,3,wall features,2,uncategorized,5,180
1,3,wall features,3,uncategorized,2,135
2,0,climbing holds,1,jug,1,180
2,0,climbing holds,2,crimp,4,180
2,0,climbing holds,3,jug,2,180
2,0,climbing holds,4,jug,1,180
2,0,climbing holds,5,jug,1,180
2,0,climbing holds,6,crimp,1,135
2,0,climbing holds,7,crimp,4,180
2,0,climbing holds,8,jug,1,180
2,0,climbing holds,9,crimp,3,0
2,0,insert holds,1,pocket,1,315
2,0,insert holds,2,pocket,4,0
2,0,wall features,1,uncategorized,3,135
2,0,wall features,2,uncategorized,3,180
2,0,wall features,3,uncategorized,5,180
2,0,wall features,4,uncategorized,4,135
2,0,wall features,5,uncategorized,4,0
2,0,wall features,6,uncategorized,3,0
2,1,climbing holds,1,pinch,2,180
2,1,climbing holds,10,sloper,5,180
2,1,climbing holds,2,jug,1,180
2,1,climbing holds,3,crimp,2,180
2,1,climbing holds,4,jug,1,90
2,1,climbing holds,5,crimp,2,270
2,1,climbing holds,6,jug,1,180
2,1,climbing holds,7,pinch,1,180
2,1,climbing holds,8,crimp,2,90
2,1,climbing holds,9,pinch,2,225
2,1,insert holds,1,crimp,2,180
2,1,wall features,1,pocket,5,180
2,1,wall features,10,crimp,2,90
2,1,wall features,11,sloper,5,180
2,1,wall features,12,pocket,5,180
2,1,wall features,13,pocket,5,180
2,1,wall features,14,crimp,3,90
2,1,wall features,15,crimp,5,90
2,1,wall features,16,crimp,5,180
2,1,wall features,17,jug,2,180
2,1,wall features,18,pocket,1,180
2,1,wall features,19,jug,2,180
2,1,wall features,2,pocket,5,180
2,1,wall features,20,pocket,4,90
2,1,wall features,21,pocket,4,90
2,1,wall features,22,pocket,3,90
2,1,wall features,23,crimp,4,90
2,1,wall features,3,pocket,3,180
2,1,wall features,4,pocket,2,180
2,1,wall features,5,pocket,3,180
2,1,wall features,6,uncategorized,5,180
2,1,wall features,7,uncategorized,5,270
2,1,wall features,8,crimp,5,90
2,1,wall features,9,pocket,5,180
2,2,climbing holds,1,jug,1,180
2,2,climbing holds,2,pinch,1,90
2,2,climbing holds,3,pinch,2,90
2,2,climbing holds,4,jug,1,180
2,2,climbing holds,5,jug,2,180
2,2,climbing holds,6,sloper,5,180
2,2,climbing holds,7,jug,5,180
2,2,climbing holds,8,jug,1,180
2,2,insert holds,1,crimp,5,180
2,2,wall features,1,crimp,4,90
2,2,wall features,10,jug,3,0
2,2,wall features,11,crimp,5,0
2,2,wall features,12,jug,2,180
2,2,wall features,13,crimp,4,90
2,2,wall features,14,jug,1,180
2,2,wall features,15,pocket,4,180
2,2,wall features,16,pocket,3,180
2,2,wall features,17,pocket,3,180
2,2,wall features,18,pinch,3,180
2,2,wall features,19,crimp,5,180
2,2,wall features,2,pocket,4,90
2,2,wall features,20,crimp,3,90
2,2,wall features,21,crimp,3,90
2,2,wall features,22,jug,5,0
2,2,wall features,23,jug,3,270
2,2,wall features,24,jug,1,180
2,2,wall features,25,uncategorized,3,180
2,2,wall features,26,jug,1,180
2,2,wall features,27,pinch,5,180
2,2,wall features,28,crimp,5,180
2,2,wall features,29,crimp,5,90
2,2,wall features,3,pocket,5,90
2,2,wall features,30,crimp,5,135
2,2,wall features,31,crimp,5,180
2,2,wall features,32,crimp,5,225
2,2,wall features,33,crimp,4,90
2,2,wall features,34,pinch,3,90
2,2,wall features,35,crimp,5,90
2,2,wall features,36,crimp,5,180
2,2,wall features,37,crimp,5,180
2,2,wall features,38,crimp,5,180
2,2,wall features,39,crimp,5,270
2,2,wall features,4,crimp,3,180
2,2,wall features,40,crimp,3,180
2,2,wall features,41,pinch,4,90
2,2,wall features,42,crimp,3,180
2,2,wall features,43,crimp,3,225
2,2,wall features,44,crimp,5,180
2,2,wall features,45,crimp,5,180
2,2,wall features,5,crimp,5,180
2,2,wall features,6,pocket,5,270
2,2,wall features,7,pocket,5,270
2,2,wall features,8,pocket,5,180
2,2,wall features,9,pocket,5,90
2,3,climbing holds,1,jug,4,135
2,3,climbing holds,2,crimp,3,180
2,3,climbing holds,3,crimp,2,225
2,3,climbing holds,4,sloper,2,180
2,3,climbing holds,5,jug,1,180
2,3,insert holds,1,sloper,3,180
2,3,wall features,1,uncategorized,5,0
2,3,wall features,2,uncategorized,4,180
3,0,climbing holds,1,jug,1,180
3,0,climbing holds,2,jug,3,180
3,0,climbing holds,3,jug,1,180
3,0,climbing holds,4,jug,1,180
3,0,climbing holds,5,jug,1,180
3,0,climbing holds,6,crimp,4,135
3,0,climbing holds,7,crimp,4,180
3,0,climbing holds,8,jug,1,180
3,0,climbing holds,9,jug,1,0
3,0,insert holds,1,pocket,2,270
3,0,insert holds,2,crimp,2,0
3,0,wall features,1,uncategorized,3,180
3,0,wall features,2,uncategorized,3,180
3,0,wall features,3,uncategorized,5,180
3,0,wall features,4,uncategorized,3,135
3,0,wall features,5,uncategorized,3,180
3,0,wall features,6,uncategorized,5,180
3,1,climbing holds,1,crimp,2,225
3,1,climbing holds,10,sloper,2,180
3,1,climbing holds,2,jug,1,180
3,1,climbing holds,3,jug,1,315
3,1,climbing holds,4,pinch,1,270
3,1,climbing holds,5,sloper,4,180
3,1,climbing holds,6,crimp,3,225
3,1,climbing holds,7,jug,5,180
3,1,climbing holds,8,pinch,1,270
3,1,climbing holds,9,pinch,1,180
3,1,insert holds,1,crimp,5,270
3,1,insert holds,2,crimp,2,270
3,1,wall features,1,crimp,5,315
3,1,wall features,10,uncategorized,5,180
3,1,wall features,2,crimp,3,315
3,1,wall features,3,crimp,5,315
3,1,wall features,4,crimp,4,315
3,1,wall features,5,crimp,3,270
3,1,wall features,6,crimp,2,315
3,1,wall features,7,crimp,4,315
3,1,wall features,8,jib,5,180
3,1,wall features,9,uncategorized,5,180
3,2,climbing holds,1,crimp,1,180
3,2,climbing holds,10,crimp,1,180
3,2,climbing holds,2,crimp,2,135
3,2,climbing holds,3,jug,1,180
3,2,climbing holds,4,jug,2,180
3,2,climbing holds,5,pocket,3,180
3,2,climbing holds,6,sloper,4,180
3,2,climbing holds,7,sloper,3,180
3,2,climbing holds,8,jug,1,270
3,2,climbing holds,9,crimp,2,180
3,2,insert holds,1,pocket,1,225
3,2,insert holds,2,crimp,3,180
3,2,wall features,1,uncategorized,5,180
3,2,wall features,10,uncategorized,5,180
3,2,wall features,11,uncategorized,5,180
3,2,wall features,12,uncategorized,5,180
3,2,wall features,13,pocket,5,180
3,2,wall features,14,uncategorized,5,180
3,2,wall features,15,uncategorized,5,180
3,2,wall features,2,uncategorized,5,180
3,2,wall features,3,uncategorized,3,180
3,2,wall features,4,uncategorized,4,180
3,2,wall features,5,uncategorized,5,180
3,2,wall features,6,uncategorized,3,180
3,2,wall features,7,uncategorized,4,180
3,2,wall features,8,uncategorized,5,180
3,2,wall features,9,uncategorized,5,180
3,3,climbing holds,1,jug,4,180
3,3,climbing holds,2,crimp,1,180
3,3,climbing holds,3,jug,1,180
3,3,climbing holds,4,crimp,1,180
3,3,climbing holds,5,jug,1,270
3,3,climbing holds,6,uncategorized,5,135
3,3,insert holds,1,pocket,2,180
3,3,wall features,1,uncategorized,2,180
3,3,wall features,2,uncategorized,3,180
